cohort_dropped	taxon_id	taxon_name	n_cohorts	direction	effect_size	p_value	q_value
geng2024_PRJDB11203	STR_Capnocytophaga_leadbetteri	Capnocytophaga_leadbetteri	5	disease_enriched	0.563259234307594	0.954215232626747	0.971777476172024
geng2024_PRJDB11203	STR_Capnocytophaga_ochracea	Capnocytophaga_ochracea	5	disease_enriched	1.3377411445693	0.0662805338190936	0.143036327938768
geng2024_PRJDB11203	STR_Capnocytophaga_sp_oral_taxon_332	Capnocytophaga_sp_oral_taxon_332	4	disease_enriched	0.126254711007159	0.107768706873841	0.211163010015225
geng2024_PRJDB11203	STR_Capnocytophaga_sp_oral_taxon_338	Capnocytophaga_sp_oral_taxon_338	3	disease_enriched	1.29608332342408	0.240993041639135	0.379192842768687
geng2024_PRJDB11203	STR_Capnocytophaga_sp_oral_taxon_863	Capnocytophaga_sp_oral_taxon_863	2	disease_enriched	0.020448443194701	0.697311600758222	0.820948409403297
geng2024_PRJDB11203	STR_Capnocytophaga_sputigena	Capnocytophaga_sputigena	5	disease_enriched	0.636972857280887	0.358695807396412	0.502247974861955
geng2024_PRJDB11203	STR_Cardiobacterium_hominis	Cardiobacterium_hominis	4	health_enriched	-0.257344386656398	0.158091804311575	0.277706238261602
geng2024_PRJDB11203	STR_Cardiobacterium_valvarum	Cardiobacterium_valvarum	4	health_enriched	0.944186640565722	0.794230605774862	0.87459749423576
geng2024_PRJDB11203	STR_Catonella_morbi	Catonella_morbi	4	disease_enriched	3.02864172154257	0.00222268681651825	0.00988267907289386
geng2024_PRJDB11203	STR_Centipeda_periodontii	Centipeda_periodontii	2	disease_enriched	1.4081141336492	0.00366128911762888	0.0138798920840598
geng2024_PRJDB11203	STR_Colibacter_massiliensis	Colibacter_massiliensis	2	disease_enriched	4.64388132834464	0.0685429635096205	0.145873486443551
geng2024_PRJDB11203	STR_Corynebacterium_durum	Corynebacterium_durum	5	health_enriched	-0.953173130943008	0.00726299764611889	0.0248589197784688
geng2024_PRJDB11203	STR_Corynebacterium_matruchotii	Corynebacterium_matruchotii	5	disease_enriched	0.815110447976555	0.0443388410633861	0.102940526105204
geng2024_PRJDB11203	STR_Cryptobacterium_curtum	Cryptobacterium_curtum	2	disease_enriched	1.71359321595366	0.221497950255108	0.356977279051921
geng2024_PRJDB11203	STR_Desulfobulbus_oralis	Desulfobulbus_oralis	3	disease_enriched	5.78561779587666	1.76087211386574e-08	3.4388796576672e-07
geng2024_PRJDB11203	STR_Desulfomicrobium_orale	Desulfomicrobium_orale	2	disease_enriched	7.91594981292334	0.0223384394087874	0.0609783695882726
geng2024_PRJDB11203	STR_Desulfovibrio_sp_OH1186_COT_070	Desulfovibrio_sp_OH1186_COT_070	2	disease_enriched	8.18602800302386	0.0106975760339925	0.0331924789092104
geng2024_PRJDB11203	STR_Dialister_invisus	Dialister_invisus	5	disease_enriched	2.00385637676362	8.65474462809147e-05	0.000624646786201384
