candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,q_value,link_id,vOTU_id,host_taxon_id,evidence_kind,confidence
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_15e5fba817b3,vOTU_yahara2021_00634,STR_Streptococcus,published_prediction,0.62
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_a2338cf5fce3,vOTU_yahara2021_00639,STR_Streptococcus,published_prediction,0.72
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_c70d37394e62,vOTU_yahara2021_00652,STR_Streptococcus,published_prediction,0.61
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_15339ce91f50,vOTU_yahara2021_00661,STR_Streptococcus,published_prediction,0.71
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_36b326ed2432,vOTU_yahara2021_00664,STR_Streptococcus,published_prediction,0.7
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_0eaecadecc02,vOTU_yahara2021_00669,STR_Streptococcus,published_prediction,0.57
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_37366e596b81,vOTU_yahara2021_00705,STR_Streptococcus,published_prediction,0.68
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_1c077716468f,vOTU_yahara2021_00710,STR_Streptococcus,published_prediction,0.52
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_36356df4e0fe,vOTU_yahara2021_00717,STR_Streptococcus,published_prediction,0.79
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_feb99532477b,vOTU_yahara2021_00725,STR_Streptococcus,published_prediction,0.81
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_4a7a9ed0aa40,vOTU_yahara2021_00727,STR_Streptococcus,published_prediction,1
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_e54da12901d6,vOTU_yahara2021_00732,STR_Streptococcus,published_prediction,0.84
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_ef7190b504e6,vOTU_yahara2021_00759,STR_Streptococcus,published_prediction,0.66
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_91f8c3159806,vOTU_yahara2021_00796,STR_Streptococcus,published_prediction,0.71
