taxon_id,effect_size,se,p_value,tau2,I2,n_cohorts,taxon_name,q_value,direction
STR_Candidatus_Gracilibacteria_bacterium_GN02_873,0.09509910122350118,0.10700144065528805,0.37412956137949993,0.018943720380742126,41.47551080340979,4,Candidatus_Gracilibacteria_bacterium_GN02_873,0.52682019176376,disease_enriched
STR_Candidatus_Gracilibacteria_bacterium_HOT_871,-0.0594992904662013,0.09688220810675421,0.5391224687683607,0,0,2,Candidatus_Gracilibacteria_bacterium_HOT_871,0.6925650175716633,health_enriched
STR_Candidatus_Nanoperiomorbus_periodonticus,0.3313856472702713,0.05962703174520923,2.734447840471038e-8,0,0,6,Candidatus_Nanoperiomorbus_periodonticus,4.1513889941696666e-7,disease_enriched
STR_Candidatus_Nanosynbacter_lyticus,0.1604833930356542,0.0773803599258464,0.0380834799089957,0,0,4,Candidatus_Nanosynbacter_lyticus,0.10599901908003803,disease_enriched
STR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0.29742412494760945,0.13253934439437387,0.02482956834907705,0.08405897929287785,80.99558265825833,6,Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0.0727462791981731,disease_enriched
STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_488,0.012405435283499515,0.17857195122689518,0.9446153250170325,0.13701283637228442,86.99778853847538,5,Candidatus_Saccharibacteria_bacterium_oral_taxon_488,0.9677960691892297,disease_enriched
STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_955,-0.03174510738720039,0.0792968603752914,0.6889116609991477,0,0,4,Candidatus_Saccharibacteria_bacterium_oral_taxon_955,0.8045331985094942,health_enriched
STR_Candidatus_Saccharibacteria_unclassified_SGB19782,-0.06758868623379487,0.11370409771563231,0.5522271391154177,0.037285068728676186,58.68187897155814,5,Candidatus_Saccharibacteria_unclassified_SGB19782,0.6956392667627607,health_enriched
STR_Candidatus_Saccharibacteria_unclassified_SGB19850,-0.3696712341652142,0.06467463639882333,1.091499117140814e-8,0,0,5,Candidatus_Saccharibacteria_unclassified_SGB19850,1.9187405532896415e-7,health_enriched
STR_Capnocytophaga_SGB2480,0.08134414080858166,0.1362665745811626,0.5505416987448079,0.06978924696379274,75.94459514823212,5,Capnocytophaga_SGB2480,0.6956392667627607,disease_enriched
STR_Capnocytophaga_SGB2499,-0.008856822078307734,0.08038540483202554,0.9122670360241447,0,0,4,Capnocytophaga_SGB2499,0.9649403622881506,health_enriched
STR_Capnocytophaga_gingivalis,-0.1071363722996727,0.1154634426890814,0.3534691320917038,0.04191975971524576,64.43663827591953,5,Capnocytophaga_gingivalis,0.5088736643044356,health_enriched
STR_Capnocytophaga_granulosa,0.15513058613763533,0.17501076997129464,0.3753988192807632,0.1593874398729426,88.65628735511201,6,Capnocytophaga_granulosa,0.52682019176376,disease_enriched
STR_Capnocytophaga_haemolytica,-0.0031670713131483623,0.115805962051045,0.9781821047759571,0,0,2,Capnocytophaga_haemolytica,0.9870478036107846,health_enriched
STR_Capnocytophaga_leadbetteri,0.11959214016790023,0.10239982961965814,0.24284955005173142,0.03717872664639243,59.768735939491314,6,Capnocytophaga_leadbetteri,0.38680436501376186,disease_enriched
STR_Capnocytophaga_ochracea,0.1903187686250863,0.19891033288078694,0.3386647551990185,0.21456920599584778,92.46346200630873,6,Capnocytophaga_ochracea,0.5005045497189035,disease_enriched
STR_Capnocytophaga_sp_oral_taxon_332,0.25012037305515655,0.2541630761805853,0.32506926819815324,0.2386827108428386,93.94469485768217,4,Capnocytophaga_sp_oral_taxon_332,0.48687504743579907,disease_enriched
STR_Capnocytophaga_sp_oral_taxon_338,0.10099249514954639,0.08553465764685973,0.23771390781008675,0,0,3,Capnocytophaga_sp_oral_taxon_338,0.38541963693480086,disease_enriched
STR_Capnocytophaga_sp_oral_taxon_863,0.21733417849240247,0.11449655325926082,0.05767339694200013,0.0021909309045365028,8.177605782564397,2,Capnocytophaga_sp_oral_taxon_863,0.1404585296354978,disease_enriched
