taxon_id,p_value,U,r,var_r,log2fc,mean_case,mean_ctrl,taxon_name,source_id,n_case,n_ctrl,n_total
STR_Kingella_denitrificans,0.45953847841431267,199,-0.08924485125858128,0.02400327191691146,-3.6923042421238694,1.472217559234818e-4,0.0019150475554376158,Kingella_denitrificans,geng2024_PRJDB11203,23,19,42
STR_Candidatus_Gracilibacteria_bacterium_GN02_873,0.5003984352271087,203,-0.07093821510297482,0.0241453868931323,-0.5189678685745893,3.0789151347662317e-4,4.4161983488442237e-4,Candidatus_Gracilibacteria_bacterium_GN02_873,geng2024_PRJDB11203,23,19,42
STR_Selenomonas_sp_oral_taxon_892,0.9284076890535581,221,0.011441647597254079,0.024383858403372902,-1.5290144765124154,0.001008115275776113,0.002911191981353235,Selenomonas_sp_oral_taxon_892,geng2024_PRJDB11203,23,19,42
STR_Selenomonas_sp_oral_taxon_126,0.3609861651900795,246,0.12585812356979398,0.02362366779341753,-0.08202919401444755,0.001145215376828707,0.0012122756408317957,Selenomonas_sp_oral_taxon_126,geng2024_PRJDB11203,23,19,42
STR_Catonella_morbi,0.21671990007222316,252.5,0.1556064073226544,0.02322340435395598,0.09294114399956072,4.3865127114896897e-4,4.1122114092726636e-4,Catonella_morbi,geng2024_PRJDB11203,23,19,42
STR_Parvimonas_micra,0.39765214598561016,244,0.1167048054919908,0.023730377596751614,-0.8350585457915106,0.001100803369172386,0.001964539457160091,Parvimonas_micra,geng2024_PRJDB11203,23,19,42
STR_Bacteroidetes_unclassified_SGB1343,0.08143970556675598,270.5,0.2379862700228832,0.02170567982856177,3.1045223658972474,0.008560974200425269,9.944502511546561e-4,Bacteroidetes_unclassified_SGB1343,geng2024_PRJDB11203,23,19,42
STR_Campylobacter_showae,0.5751002491828016,232.5,0.06407322654462244,0.02419039261980001,0.41868539305135505,4.784254158809234e-4,3.576610302026473e-4,Campylobacter_showae,geng2024_PRJDB11203,23,19,42
STR_Dialister_pneumosintes,0.24541905298352712,250.5,0.14645308924485123,0.023355195701677923,0.6132018705118824,5.999559757322388e-4,3.918714788270746e-4,Dialister_pneumosintes,geng2024_PRJDB11203,23,19,42
STR_Prevotella_baroniae,0.07982526129974524,264,0.208237986270023,0.02232083504945886,4.386440018618486,0.00207661413023125,9.833787616066991e-5,Prevotella_baroniae,geng2024_PRJDB11203,23,19,42
STR_Streptococcus_anginosus,0.7875101729389323,225,0.029748283752860427,0.02434709420444887,0.2506099996270793,4.079823241589812e-4,3.427663884145292e-4,Streptococcus_anginosus,geng2024_PRJDB11203,23,19,42
STR_Peptostreptococcus_stomatis,0.20843604494082102,247,0.13043478260869557,0.02356738987932259,6.606765439007318,9.271258010019529e-4,8.522966889942428e-6,Peptostreptococcus_stomatis,geng2024_PRJDB11203,23,19,42
STR_GGB1025_SGB1319,0.009559577853313638,303,0.38672768878718533,0.017640270149445796,3.591372587190267,0.007311753716851298,6.056945210142888e-4,GGB1025_SGB1319,geng2024_PRJDB11203,23,19,42
